setting,metric,baseline,family,n_runs,mean_delta,ci_low,ci_high,wilcoxon_p,dz,holm_p,verdict
NSL-KDD/full,ece_full,SVM-RBF,kernel,10,0.014877036064934485,0.006111494678524719,0.02405613908004028,0.01953125,0.9591365004244717,0.01953125,baseline-favorable
NSL-KDD/full,ece_full,MLP,neural,10,0.02497691941821395,0.014434586062928552,0.03374894848070239,0.005859375,1.4918366613355292,0.005859375,baseline-favorable
NSL-KDD/full,ece_full,RandomForest,tree,10,-0.0414675688509677,-0.05650157154559983,-0.026758124150219064,0.001953125,-1.6385790199956254,0.00390625,QSVM-favorable
NSL-KDD/full,ece_full,XGBoost,tree,10,-0.033721424574138605,-0.04918127128653726,-0.018879940020073135,0.001953125,-1.2878124679848724,0.00390625,QSVM-favorable
NSL-KDD/full,brier_full,SVM-RBF,kernel,10,0.00641849599479285,-0.000876849278262,0.01441473385392029,0.375,0.4903526430990385,0.375,inconclusive
NSL-KDD/full,brier_full,MLP,neural,10,0.019112300345627668,0.01070003260817632,0.02683821524943008,0.005859375,1.3821827148633004,0.005859375,baseline-favorable
NSL-KDD/full,brier_full,RandomForest,tree,10,-0.03311246779599421,-0.04535034459980397,-0.021332958282968908,0.001953125,-1.677890213512448,0.00390625,QSVM-favorable
NSL-KDD/full,brier_full,XGBoost,tree,10,-0.027932479125125965,-0.03888563864849526,-0.017536863989445796,0.001953125,-1.5132823485678928,0.00390625,QSVM-favorable
NSL-KDD/full,ece_rare,SVM-RBF,kernel,10,0.029731819914205416,-0.00659375992589315,0.06158467621194882,0.130859375,0.5105967682498761,0.130859375,inconclusive
NSL-KDD/full,ece_rare,MLP,neural,10,0.007764216258582835,-0.018321573383410422,0.03539901721474939,0.556640625,0.17065900999404052,0.556640625,inconclusive
NSL-KDD/full,ece_rare,RandomForest,tree,10,-0.11474767993154793,-0.157121908650769,-0.064587242637415,0.005859375,-1.4558299361892022,0.01171875,QSVM-favorable
NSL-KDD/full,ece_rare,XGBoost,tree,10,-0.07969855801944703,-0.13740332359714202,-0.016246139723246393,0.02734375,-0.7795055183557635,0.02734375,QSVM-favorable
NSL-KDD/full,brier_rare,SVM-RBF,kernel,10,0.10152980789628163,0.06753434457409441,0.1325990195876645,0.00390625,1.8207090858644468,0.00390625,baseline-favorable
NSL-KDD/full,brier_rare,MLP,neural,10,0.08607160384783588,0.05927216749308413,0.1116362782921001,0.001953125,1.9399920870512097,0.001953125,baseline-favorable
