run_id,baseline,baseline_family,qsvm_effect
1,QSVM_Z,entanglement,-0.5156382626870529
2,QSVM_Z,entanglement,-0.873586160332483
3,QSVM_Z,entanglement,-0.5350561021725257
4,QSVM_Z,entanglement,-1.1569451021831658
5,QSVM_Z,entanglement,-0.7491200071674176
6,QSVM_Z,entanglement,-0.9137677251130314
7,QSVM_Z,entanglement,-0.6973960685860305
8,QSVM_Z,entanglement,-1.0149773793311443
9,QSVM_Z,entanglement,-0.8254213589268
10,QSVM_Z,entanglement,-1.1394197276481999
1,SVM_Linear,classical_kernel,-0.8994507246134391
2,SVM_Linear,classical_kernel,-1.0805594223638078
3,SVM_Linear,classical_kernel,-0.7616428579764054
4,SVM_Linear,classical_kernel,-1.395550868511149
5,SVM_Linear,classical_kernel,-1.0368432822569997
6,SVM_Linear,classical_kernel,-1.2043114475330903
7,SVM_Linear,classical_kernel,-0.9261170644320051
8,SVM_Linear,classical_kernel,-1.265541067599643
9,SVM_Linear,classical_kernel,-1.0113682354064912
10,SVM_Linear,classical_kernel,-1.5010199761044976
1,SVM_Poly2,classical_kernel,-0.8525940720878816
2,SVM_Poly2,classical_kernel,-0.9344647611277932
3,SVM_Poly2,classical_kernel,-0.7177476654654265
4,SVM_Poly2,classical_kernel,-1.4076446872175041
5,SVM_Poly2,classical_kernel,-1.0782392038480355
6,SVM_Poly2,classical_kernel,-1.125480624848925
7,SVM_Poly2,classical_kernel,-0.9195393119041053
8,SVM_Poly2,classical_kernel,-1.202188744309379
9,SVM_Poly2,classical_kernel,-0.9613769256370753
10,SVM_Poly2,classical_kernel,-1.4759667643904892
1,SVM_RBF,classical_kernel,-0.7491031394843641
2,SVM_RBF,classical_kernel,-0.8262474389042095
3,SVM_RBF,classical_kernel,-0.8737375335403922
4,SVM_RBF,classical_kernel,-1.391560795723232
5,SVM_RBF,classical_kernel,-0.8960780489171738
6,SVM_RBF,classical_kernel,-1.0249565330407697
7,SVM_RBF,classical_kernel,-0.7896290631313123
8,SVM_RBF,classical_kernel,-1.0654775401396208
9,SVM_RBF,classical_kernel,-0.9976270477745952
10,SVM_RBF,classical_kernel,-1.3517926302790595
1,RandomForest,strong_tabular,-0.6149770047779846
2,RandomForest,strong_tabular,-0.6984656177033732
3,RandomForest,strong_tabular,-0.6031115055309669
4,RandomForest,strong_tabular,-1.184513143028607
5,RandomForest,strong_tabular,-0.8650014393262886
6,RandomForest,strong_tabular,-1.0048026481590715
7,RandomForest,strong_tabular,-0.7914351828459849
8,RandomForest,strong_tabular,-1.047033405541455
9,RandomForest,strong_tabular,-0.83991247399125
10,RandomForest,strong_tabular,-0.9884173513247595
1,XGBoost,strong_tabular,-0.4461140729525103
2,XGBoost,strong_tabular,-0.5564195300443825
3,XGBoost,strong_tabular,-0.2728557904328037
4,XGBoost,strong_tabular,-1.05677764532275
5,XGBoost,strong_tabular,-0.595280444873995
6,XGBoost,strong_tabular,-0.8429938796886739
7,XGBoost,strong_tabular,-0.6115122494138575
8,XGBoost,strong_tabular,-0.959918817218339
9,XGBoost,strong_tabular,-0.8535421665831935
10,XGBoost,strong_tabular,-0.7371919249584984
