run_id,condition,comparison,comparator,comparison_baseline,baseline_family,n_samples,qsvm_f1_macro,comparator_f1_macro,f1_delta_qsvm_minus_comparator,qsvm_correct_baseline_wrong,qsvm_wrong_baseline_correct,discordant_total,mcnemar_p,mcnemar_odds_ratio,discordant_advantage_rate
1,KDDTest21,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,QSVM_Z,entanglement,1000,0.5808335557959713,0.5987487865386689,-0.01791523074269763,183,169,352,0.48842479869252076,1.0828402366863905,0.014
1,KDDTest21,QSVM_ZZ_vs_RandomForest,RandomForest,RandomForest,strong_tabular,1000,0.5808335557959713,0.5969123972367982,-0.01607884144082694,114,138,252,0.14722875077624192,0.8260869565217391,-0.024
1,KDDTest21,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,SVM_Linear,classical_kernel,1000,0.5808335557959713,0.613776157496811,-0.032942601700839735,173,194,367,0.29647983490882174,0.8917525773195877,-0.021
1,KDDTest21,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,SVM_Poly2,classical_kernel,1000,0.5808335557959713,0.6380221530442336,-0.05718859724826231,172,195,367,0.25077335610257595,0.882051282051282,-0.023
1,KDDTest21,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,SVM_RBF,classical_kernel,1000,0.5808335557959713,0.6062247983870968,-0.025391242591125462,85,143,228,0.0001484646776327609,0.5944055944055944,-0.058
1,KDDTest21,QSVM_ZZ_vs_XGBoost,XGBoost,XGBoost,strong_tabular,1000,0.5808335557959713,0.675656503903789,-0.09482294810781766,105,185,290,3.0539546236644263e-06,0.5675675675675675,-0.08
2,KDDTest21,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,QSVM_Z,entanglement,1000,0.6385123392422662,0.5886145381512549,0.049897801091011385,185,107,292,5.855070030917515e-06,1.7289719626168225,0.078
2,KDDTest21,QSVM_ZZ_vs_RandomForest,RandomForest,RandomForest,strong_tabular,1000,0.6385123392422662,0.613334824090638,0.02517751515162825,107,87,194,0.17237156543983903,1.2298850574712643,0.02
2,KDDTest21,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,SVM_Linear,classical_kernel,1000,0.6385123392422662,0.5958999813915795,0.04261235785068673,201,146,347,0.0036834522516760847,1.3767123287671232,0.055
2,KDDTest21,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,SVM_Poly2,classical_kernel,1000,0.6385123392422662,0.6267279873793417,0.011784351862924591,188,151,339,0.05039303036087252,1.2450331125827814,0.037
2,KDDTest21,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,SVM_RBF,classical_kernel,1000,0.6385123392422662,0.5920992014742015,0.04641313776806477,144,116,260,0.09384822048623297,1.2413793103448276,0.028
2,KDDTest21,QSVM_ZZ_vs_XGBoost,XGBoost,XGBoost,strong_tabular,1000,0.6385123392422662,0.6082231384151336,0.0302892008271326,99,92,191,0.6642959893958239,1.076086956521739,0.007
3,KDDTest21,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,QSVM_Z,entanglement,1000,0.5695299515636457,0.6134427179176299,-0.04391276635398422,138,160,298,0.22373381343898055,0.8625,-0.022
3,KDDTest21,QSVM_ZZ_vs_RandomForest,RandomForest,RandomForest,strong_tabular,1000,0.5695299515636457,0.6610930310851757,-0.09156307952152998,93,172,265,1.3953204181653315e-06,0.5406976744186046,-0.079
3,KDDTest21,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,SVM_Linear,classical_kernel,1000,0.5695299515636457,0.6091351975444228,-0.03960524598077708,152,186,338,0.0725026796360122,0.8172043010752689,-0.034
3,KDDTest21,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,SVM_Poly2,classical_kernel,1000,0.5695299515636457,0.6240645543993499,-0.054534602835704216,143,171,314,0.12745063013248767,0.8362573099415205,-0.028
3,KDDTest21,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,SVM_RBF,classical_kernel,1000,0.5695299515636457,0.5388391524397964,0.03069079912384931,156,140,296,0.3833189918391046,1.1142857142857143,0.016
3,KDDTest21,QSVM_ZZ_vs_XGBoost,XGBoost,XGBoost,strong_tabular,1000,0.5695299515636457,0.6151322061815149,-0.04560225461786915,79,131,210,0.00040687733920263217,0.6030534351145038,-0.052
4,KDDTest21,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,QSVM_Z,entanglement,1000,0.6474847874860394,0.6274522871261277,0.020032500359911776,139,119,258,0.23679357177051705,1.1680672268907564,0.02
4,KDDTest21,QSVM_ZZ_vs_RandomForest,RandomForest,RandomForest,strong_tabular,1000,0.6474847874860394,0.6594731770929281,-0.011988389606888639,85,101,186,0.27135236737309876,0.8415841584158416,-0.016
4,KDDTest21,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,SVM_Linear,classical_kernel,1000,0.6474847874860394,0.618147811095207,0.029336976390832437,145,132,277,0.4709680660326451,1.0984848484848484,0.013
4,KDDTest21,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,SVM_Poly2,classical_kernel,1000,0.6474847874860394,0.6423567062465825,0.005128081239456961,132,124,256,0.6618328607844567,1.064516129032258,0.008
4,KDDTest21,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,SVM_RBF,classical_kernel,1000,0.6474847874860394,0.6211974465264236,0.026287340959615824,132,101,233,0.049138643601743075,1.306930693069307,0.031
4,KDDTest21,QSVM_ZZ_vs_XGBoost,XGBoost,XGBoost,strong_tabular,1000,0.6474847874860394,0.6668332500416458,-0.019348462555606405,84,109,193,0.0838015452101863,0.7706422018348624,-0.025
5,KDDTest21,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,QSVM_Z,entanglement,1000,0.6301137370524941,0.5865947864892896,0.04351895056320443,201,117,318,2.8651825301376827e-06,1.7179487179487178,0.084
5,KDDTest21,QSVM_ZZ_vs_RandomForest,RandomForest,RandomForest,strong_tabular,1000,0.6301137370524941,0.5778453225261736,0.05226841452632047,169,100,269,3.081978741004491e-05,1.69,0.069
5,KDDTest21,QSVM_ZZ_vs_SVM_Linear,SVM_Linear,SVM_Linear,classical_kernel,1000,0.6301137370524941,0.5914455488923573,0.03866818816013673,234,172,406,0.002425420439361637,1.3604651162790697,0.062
5,KDDTest21,QSVM_ZZ_vs_SVM_Poly2,SVM_Poly2,SVM_Poly2,classical_kernel,1000,0.6301137370524941,0.6059199579647955,0.024193779087698597,231,164,395,0.0008749791548637437,1.4085365853658536,0.067
5,KDDTest21,QSVM_ZZ_vs_SVM_RBF,SVM_RBF,SVM_RBF,classical_kernel,1000,0.6301137370524941,0.6049859550561798,0.02512778199631427,142,129,271,0.4660984129589389,1.1007751937984496,0.013
5,KDDTest21,QSVM_ZZ_vs_XGBoost,XGBoost,XGBoost,strong_tabular,1000,0.6301137370524941,0.5874215424572542,0.042692194595239874,163,108,271,0.001000969937570423,1.5092592592592593,0.055
6,KDDTest21,QSVM_ZZ_vs_QSVM_Z,QSVM_Z,QSVM_Z,entanglement,1000,0.5371997917399063,0.5576789753209965,-0.020479183581090243,153,146,299,0.7286638719522035,1.047945205479452,0.007
6,KDDTest21,QSVM_ZZ_vs_RandomForest,RandomForest,RandomForest,strong_tabular,1000,0.5371997917399063,0.5800803242999775,-0.04288053256007118,81,139,220,0.00011178166898614002,0.5827338129496403,-0.058
